name,type,rarity,setName,setCode,isUniversesBeyond,releaseDate,year,keywords,keywordCount,manaValue,power,toughness,coreStats,defense,colors,isMulticolor,text,commanderLegal,edhrecRank
"celestine, the living saint",legendary creature — human warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flying', 'Healing Tears', 'Lifelink']",3,5.0,3.0,4.0,12.0,,['W'],False,"Flying, lifelink
Healing Tears - At the beginning of your end step, return target creature card with mana value X or less from your graveyard to the battlefield, where X is the amount of life you gained this turn.",True,2772.0
defenders of humanity,enchantment,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,3.0,,,3.0,,['W'],False,"When this enchantment enters, create X 2/2 white Astartes Warrior creature tokens with vigilance.
{X}{2}{W}, Exile this enchantment: Create X 2/2 white Astartes Warrior creature tokens with vigilance. Activate only if you control no creatures and only during your turn.",True,10194.0
defenders of humanity,enchantment,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,3.0,,,3.0,,['W'],False,"When this enchantment enters, create X 2/2 white Astartes Warrior creature tokens with vigilance.
{X}{2}{W}, Exile this enchantment: Create X 2/2 white Astartes Warrior creature tokens with vigilance. Activate only if you control no creatures and only during your turn.",True,10194.0
for the emperor!,sorcery,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,4.0,,,4.0,,['W'],False,Creatures you control get +2/+2 and gain vigilance and lifelink until end of turn.,True,9357.0
for the emperor!,sorcery,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,4.0,,,4.0,,['W'],False,Creatures you control get +2/+2 and gain vigilance and lifelink until end of turn.,True,9357.0
grey knight paragon,creature — astartes knight,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flash', 'Rites of Banishment']",2,5.0,4.0,4.0,13.0,,['W'],False,"Flash
Rites of Banishment - When this creature enters, destroy target attacking creature. If that creature is a Demon, exile it instead.",True,15818.0
grey knight paragon,creature — astartes knight,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flash', 'Rites of Banishment']",2,5.0,4.0,4.0,13.0,,['W'],False,"Flash
Rites of Banishment - When this creature enters, destroy target attacking creature. If that creature is a Demon, exile it instead.",True,15818.0
space marine devastator,creature — astartes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Grav-cannon', 'Squad']",2,4.0,3.0,3.0,10.0,,['W'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Grav-cannon - When this creature enters, destroy up to one target artifact or enchantment.",True,7186.0
space marine devastator,creature — astartes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Grav-cannon', 'Squad']",2,4.0,3.0,3.0,10.0,,['W'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Grav-cannon - When this creature enters, destroy up to one target artifact or enchantment.",True,7186.0
space marine scout,creature — astartes scout,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Concealed Position', 'First strike', 'Vigilance']",3,3.0,2.0,1.0,6.0,,['W'],False,"First strike, vigilance
Concealed Position - When this creature enters, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",True,9237.0
space marine scout,creature — astartes scout,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Concealed Position', 'First strike', 'Vigilance']",3,3.0,2.0,1.0,6.0,,['W'],False,"First strike, vigilance
Concealed Position - When this creature enters, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",True,9237.0
thunderwolf cavalry,creature — astartes warrior,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Crushing Teeth', 'First strike']",2,5.0,4.0,4.0,13.0,,['W'],False,"First strike
Crushing Teeth - Whenever this creature deals combat damage to a player, put a +1/+1 counter on each other creature you control.",True,14039.0
thunderwolf cavalry,creature — astartes warrior,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Crushing Teeth', 'First strike']",2,5.0,4.0,4.0,13.0,,['W'],False,"First strike
Crushing Teeth - Whenever this creature deals combat damage to a player, put a +1/+1 counter on each other creature you control.",True,14039.0
triumph of saint katherine,creature — human warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Lifelink', 'Miracle', 'Praesidium Protectiva']",3,5.0,5.0,5.0,15.0,,['W'],False,"Lifelink
Praesidium Protectiva - When this creature is put into your graveyard from the battlefield, exile it and the top six cards of your library in a face-down pile. If you do, shuffle that pile and put it back on top of your library.
Miracle {1}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",True,12115.0
triumph of saint katherine,creature — human warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Lifelink', 'Miracle', 'Praesidium Protectiva']",3,5.0,5.0,5.0,15.0,,['W'],False,"Lifelink
Praesidium Protectiva - When this creature is put into your graveyard from the battlefield, exile it and the top six cards of your library in a face-down pile. If you do, shuffle that pile and put it back on top of your library.
Miracle {1}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",True,12115.0
ultramarines honour guard,creature — astartes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Squad'],1,4.0,2.0,2.0,8.0,,['W'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Other creatures you control get +1/+1.",True,5500.0
ultramarines honour guard,creature — astartes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Squad'],1,4.0,2.0,2.0,8.0,,['W'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Other creatures you control get +1/+1.",True,5500.0
vexilus praetor,creature — custodes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Aegis of the Emperor', 'Flash', 'Vigilance']",3,4.0,3.0,4.0,11.0,,['W'],False,"Flash
Vigilance
Aegis of the Emperor - Commanders you control have protection from everything.",True,3775.0
vexilus praetor,creature — custodes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Aegis of the Emperor', 'Flash', 'Vigilance']",3,4.0,3.0,4.0,11.0,,['W'],False,"Flash
Vigilance
Aegis of the Emperor - Commanders you control have protection from everything.",True,3775.0
zephyrim,creature — human warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flying', 'Miracle', 'Squad', 'Vigilance']",4,4.0,3.0,3.0,10.0,,['W'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Flying, vigilance
Miracle {1}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",True,10500.0
zephyrim,creature — human warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flying', 'Miracle', 'Squad', 'Vigilance']",4,4.0,3.0,3.0,10.0,,['W'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Flying, vigilance
Miracle {1}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",True,10500.0
genestealer locus,creature — tyranid human,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Neurotraumal Rod'],1,4.0,3.0,3.0,10.0,,['U'],False,"Neurotraumal Rod - Whenever a creature attacks you, it gets -1/-0 until end of turn.
Whenever a creature attacks one of your opponents, it gets +0/+1 until end of turn.",True,18404.0
genestealer locus,creature — tyranid human,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Neurotraumal Rod'],1,4.0,3.0,3.0,10.0,,['U'],False,"Neurotraumal Rod - Whenever a creature attacks you, it gets -1/-0 until end of turn.
Whenever a creature attacks one of your opponents, it gets +0/+1 until end of turn.",True,18404.0
genestealer patriarch,creature — tyranid,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Children of the Cult', ""Genestealer's Kiss""]",2,5.0,4.0,4.0,13.0,,['U'],False,"Genestealer's Kiss - Whenever this creature attacks, put an infection counter on target creature defending player controls.
Children of the Cult - Whenever a creature with an infection counter on it dies, you create a token that's a copy of that creature, except it's a Tyranid in addition to its other types.",True,14164.0
genestealer patriarch,creature — tyranid,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Children of the Cult', ""Genestealer's Kiss""]",2,5.0,4.0,4.0,13.0,,['U'],False,"Genestealer's Kiss - Whenever this creature attacks, put an infection counter on target creature defending player controls.
Children of the Cult - Whenever a creature with an infection counter on it dies, you create a token that's a copy of that creature, except it's a Tyranid in addition to its other types.",True,14164.0
heralds of tzeentch,creature — demon,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Cascade', 'Flying']",2,5.0,3.0,3.0,11.0,,['U'],False,"Flying
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",True,8295.0
heralds of tzeentch,creature — demon,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Cascade', 'Flying']",2,5.0,3.0,3.0,11.0,,['U'],False,"Flying
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",True,8295.0
lord of change,creature — demon,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Architect of Deception', 'Flying', 'Ward']",3,7.0,6.0,6.0,19.0,,['U'],False,"Flying, ward {3}
Architect of Deception - When this creature enters, draw three cards.",True,5119.0
lord of change,creature — demon,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Architect of Deception', 'Flying', 'Ward']",3,7.0,6.0,6.0,19.0,,['U'],False,"Flying, ward {3}
Architect of Deception - When this creature enters, draw three cards.",True,5119.0
sicarian infiltrator,artifact creature — human soldier,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Benediction of the Omnissiah', 'Flash', 'Squad']",3,3.0,1.0,2.0,6.0,,['U'],False,"Flash
Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Benediction of the Omnissiah - When this creature enters, draw a card.",True,5978.0
sicarian infiltrator,artifact creature — human soldier,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Benediction of the Omnissiah', 'Flash', 'Squad']",3,3.0,1.0,2.0,6.0,,['U'],False,"Flash
Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Benediction of the Omnissiah - When this creature enters, draw a card.",True,5978.0
sister of silence,creature — human knight,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flash', 'Psychic Abomination']",2,5.0,3.0,3.0,11.0,,['U'],False,"Flash
Psychic Abomination - When this creature enters, counter target instant spell, sorcery spell, activated ability, or triggered ability.",True,11927.0
sister of silence,creature — human knight,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flash', 'Psychic Abomination']",2,5.0,3.0,3.0,11.0,,['U'],False,"Flash
Psychic Abomination - When this creature enters, counter target instant spell, sorcery spell, activated ability, or triggered ability.",True,11927.0
vanguard suppressor,creature — astartes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flying', 'Squad', 'Suppressing Fire']",3,4.0,3.0,2.0,9.0,,['U'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Flying
Suppressing Fire - Whenever this creature deals combat damage to a player, draw a card.",True,7845.0
vanguard suppressor,creature — astartes warrior,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flying', 'Squad', 'Suppressing Fire']",3,4.0,3.0,2.0,9.0,,['U'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
Flying
Suppressing Fire - Whenever this creature deals combat damage to a player, draw a card.",True,7845.0
anrakyr the traveller,legendary artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Lord of the Pyrrhian Legions'],1,5.0,4.0,4.0,13.0,,['B'],False,"Lord of the Pyrrhian Legions - Whenever Anrakyr the Traveller attacks, you may cast an artifact spell from your hand or graveyard by paying life equal to its mana value rather than paying its mana cost.",True,6004.0
anrakyr the traveller,legendary artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Lord of the Pyrrhian Legions'],1,5.0,4.0,4.0,13.0,,['B'],False,"Lord of the Pyrrhian Legions - Whenever Anrakyr the Traveller attacks, you may cast an artifact spell from your hand or graveyard by paying life equal to its mana value rather than paying its mana cost.",True,6004.0
arco-flagellant,creature — human,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Endurant', 'Squad']",2,3.0,3.0,1.0,7.0,,['B'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
This creature can't block.
Endurant - Pay 3 life: This creature gains indestructible until end of turn.",True,12898.0
arco-flagellant,creature — human,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Endurant', 'Squad']",2,3.0,3.0,1.0,7.0,,['B'],False,"Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.)
This creature can't block.
Endurant - Pay 3 life: This creature gains indestructible until end of turn.",True,12898.0
biotransference,enchantment,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,4.0,,,4.0,,['B'],False,"Creatures you control are artifacts in addition to their other types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield.
Whenever you cast an artifact spell, you lose 1 life and create a 2/2 black Necron Warrior artifact creature token.",True,3783.0
biotransference,enchantment,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,4.0,,,4.0,,['B'],False,"Creatures you control are artifacts in addition to their other types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield.
Whenever you cast an artifact spell, you lose 1 life and create a 2/2 black Necron Warrior artifact creature token.",True,3783.0
blight grenade,sorcery,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,5.0,,,5.0,,['B'],False,"Destroy target creature.
All creatures get -3/-3 until end of turn.",True,10750.0
blight grenade,sorcery,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,5.0,,,5.0,,['B'],False,"Destroy target creature.
All creatures get -3/-3 until end of turn.",True,10750.0
chronomancer,artifact creature — necron wizard,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Atomic Transmutation', 'Flying', 'Unearth']",3,2.0,1.0,1.0,4.0,,['B'],False,"Flying
Atomic Transmutation - {1}, {T}, Sacrifice another artifact: Draw a card.
Unearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",True,6577.0
chronomancer,artifact creature — necron wizard,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Atomic Transmutation', 'Flying', 'Unearth']",3,2.0,1.0,1.0,4.0,,['B'],False,"Flying
Atomic Transmutation - {1}, {T}, Sacrifice another artifact: Draw a card.
Unearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",True,6577.0
cryptek,artifact creature — necron wizard,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,4.0,3.0,3.0,10.0,,['B'],False,"{1}{B}, {T}: Choose another target artifact creature you control. When that creature dies this turn, return it to the battlefield tapped under your control.",True,8112.0
cryptek,artifact creature — necron wizard,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,4.0,3.0,3.0,10.0,,['B'],False,"{1}{B}, {T}: Choose another target artifact creature you control. When that creature dies this turn, return it to the battlefield tapped under your control.",True,8112.0
flayed one,artifact creature — necron,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flesh Flayer', 'Lifelink', 'Mill']",3,3.0,4.0,1.0,8.0,,['B'],False,"Lifelink
Flesh Flayer - When this creature enters, mill three cards.",True,11296.0
flayed one,artifact creature — necron,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flesh Flayer', 'Lifelink', 'Mill']",3,3.0,4.0,1.0,8.0,,['B'],False,"Lifelink
Flesh Flayer - When this creature enters, mill three cards.",True,11296.0
great unclean one,creature — demon,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Reverberating Summons'],1,5.0,4.0,5.0,14.0,,['B'],False,"Reverberating Summons - At the beginning of your end step, each opponent loses 2 life. Then for each opponent who has less life than you, create a 1/3 black Demon creature token named Plaguebearer of Nurgle.",True,4557.0
great unclean one,creature — demon,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Reverberating Summons'],1,5.0,4.0,5.0,14.0,,['B'],False,"Reverberating Summons - At the beginning of your end step, each opponent loses 2 life. Then for each opponent who has less life than you, create a 1/3 black Demon creature token named Plaguebearer of Nurgle.",True,4557.0
hexmark destroyer,artifact creature — necron,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Multi-threat Eliminator', 'Unearth']",2,6.0,6.0,6.0,18.0,,['B'],False,"Multi-threat Eliminator - This creature can't be blocked except by six or more creatures.
Unearth {4}{B}{B} ({4}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",True,13260.0
hexmark destroyer,artifact creature — necron,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Multi-threat Eliminator', 'Unearth']",2,6.0,6.0,6.0,18.0,,['B'],False,"Multi-threat Eliminator - This creature can't be blocked except by six or more creatures.
Unearth {4}{B}{B} ({4}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",True,13260.0
illuminor szeras,legendary artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Secrets of the Soul'],1,3.0,3.0,3.0,9.0,,['B'],False,"Secrets of the Soul - {T}, Sacrifice another creature: Add an amount of {B} equal to the sacrificed creature's mana value.",True,4899.0
illuminor szeras,legendary artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Secrets of the Soul'],1,3.0,3.0,3.0,9.0,,['B'],False,"Secrets of the Soul - {T}, Sacrifice another creature: Add an amount of {B} equal to the sacrificed creature's mana value.",True,4899.0
lokhust heavy destroyer,artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Enmitic Exterminator', 'Flying', 'Unearth']",3,4.0,3.0,2.0,9.0,,['B'],False,"Flying
Enmitic Exterminator - When this creature enters, each player sacrifices a creature of their choice.
Unearth {5}{B}{B}{B} ({5}{B}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",True,9999.0
lokhust heavy destroyer,artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Enmitic Exterminator', 'Flying', 'Unearth']",3,4.0,3.0,2.0,9.0,,['B'],False,"Flying
Enmitic Exterminator - When this creature enters, each player sacrifices a creature of their choice.
Unearth {5}{B}{B}{B} ({5}{B}{B}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",True,9999.0
lychguard,artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Guardian Protocols'],1,3.0,2.0,3.0,8.0,,['B'],False,"Guardian Protocols - {3}{B}, Sacrifice this creature: Return all legendary creature cards from your graveyard to your hand.",True,13560.0
lychguard,artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Guardian Protocols'],1,3.0,2.0,3.0,8.0,,['B'],False,"Guardian Protocols - {3}{B}, Sacrifice this creature: Return all legendary creature cards from your graveyard to your hand.",True,13560.0
mandate of abaddon,sorcery,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,4.0,,,4.0,,['B'],False,Choose target creature you control. Destroy all creatures with power less than that creature's power.,True,3998.0
mandate of abaddon,sorcery,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,4.0,,,4.0,,['B'],False,Choose target creature you control. Destroy all creatures with power less than that creature's power.,True,3998.0
"mortarion, daemon primarch",legendary creature — demon primarch,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flying', 'Primarch of the Death Guard']",2,6.0,5.0,6.0,17.0,,['B'],False,"Flying
Primarch of the Death Guard - At the beginning of your end step, you may pay {X}. If you do, create X 2/2 black Astartes Warrior creature tokens with menace. X can't be greater than the amount of life you lost this turn.",True,10927.0
"mortarion, daemon primarch",legendary creature — demon primarch,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flying', 'Primarch of the Death Guard']",2,6.0,5.0,6.0,17.0,,['B'],False,"Flying
Primarch of the Death Guard - At the beginning of your end step, you may pay {X}. If you do, create X 2/2 black Astartes Warrior creature tokens with menace. X can't be greater than the amount of life you lost this turn.",True,10927.0
necron deathmark,artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flash', 'Mill', 'Synaptic Disintegrator']",3,5.0,5.0,3.0,13.0,,['B'],False,"Flash
Synaptic Disintegrator - When this creature enters, destroy up to one target creature and target player mills three cards.",True,4170.0
necron deathmark,artifact creature — necron,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,"['Flash', 'Mill', 'Synaptic Disintegrator']",3,5.0,5.0,3.0,13.0,,['B'],False,"Flash
Synaptic Disintegrator - When this creature enters, destroy up to one target creature and target player mills three cards.",True,4170.0
necron overlord,artifact creature — necron noble,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Relentless March'],1,4.0,2.0,5.0,11.0,,['B'],False,"Relentless March - {X}, {T}, Tap X untapped artifacts you control: Target opponent loses X life.",True,11519.0
necron overlord,artifact creature — necron noble,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Relentless March'],1,4.0,2.0,5.0,11.0,,['B'],False,"Relentless March - {X}, {T}, Tap X untapped artifacts you control: Target opponent loses X life.",True,11519.0
nurgle's conscription,instant,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,5.0,,,5.0,,['B'],False,"Put target creature card from an opponent's graveyard onto the battlefield tapped under your control, then exile that player's graveyard.",True,11442.0
nurgle's conscription,instant,rare,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,[],0,5.0,,,5.0,,['B'],False,"Put target creature card from an opponent's graveyard onto the battlefield tapped under your control, then exile that player's graveyard.",True,11442.0
nurgle's rot,enchantment — aura,uncommon,"Warhammer 40,000 Commander",40K,True,2022-10-07,2022,['Enchant'],1,1.0,,,1.0,,['B'],False,"Enchant creature an opponent controls
When enchanted creature dies, return this card to its owner's hand and you create a 1/3 black Demon creature token named Plaguebearer of Nurgle.",True,7470.0
